id	in1	in2	logic_type
1	0	0	0
2	0	1	0
3	1	0	0
4	1	1	0
5	0	0	0
6	0	1	0
7	1	0	0
8	1	1	0
9	0	0	0
10	0	1	0
11	1	0	0
12	1	1	0
13	0	0	0
14	0	1	0
15	1	0	0
16	1	1	0
17	0	0	0
18	0	1	0
19	1	0	0
20	1	1	0
21	0	0	0
22	0	1	0
23	1	0	0
24	1	1	0
25	0	0	0
26	0	1	0
27	1	0	0
28	1	1	0
29	0	0	0
30	0	1	0
31	1	0	0
32	1	1	0
33	0	0	0
34	0	1	0
35	1	0	0
36	1	1	0
37	0	0	0
38	0	1	0
39	1	0	0
40	1	1	0
41	0	0	0
42	0	1	0
43	1	0	0
44	1	1	0
45	0	0	0
46	0	1	0
47	1	0	0
48	1	1	0
49	0	0	1
50	0	1	1
51	1	0	1
52	1	1	1
53	0	0	1
54	0	1	1
55	1	0	1
56	1	1	1
57	0	0	1
58	0	1	1
59	1	0	1
60	1	1	1
61	0	0	1
62	0	1	1
63	1	0	1
64	1	1	1
65	0	0	1
66	0	1	1
67	1	0	1
68	1	1	1
69	0	0	1
70	0	1	1
71	1	0	1
72	1	1	1
73	0	0	1
74	0	1	1
75	1	0	1
76	1	1	1
77	0	0	1
78	0	1	1
79	1	0	1
80	1	1	1
81	0	0	1
82	0	1	1
83	1	0	1
84	1	1	1
85	0	0	1
86	0	1	1
87	1	0	1
88	1	1	1
89	0	0	1
90	0	1	1
91	1	0	1
92	1	1	1
93	0	0	1
94	0	1	1
95	1	0	1
96	1	1	1
97	0	0	2
98	0	1	2
99	1	0	2
100	1	1	2
101	0	0	2
102	0	1	2
103	1	0	2
104	1	1	2
105	0	0	2
106	0	1	2
107	1	0	2
108	1	1	2
109	0	0	2
110	0	1	2
111	1	0	2
112	1	1	2
113	0	0	2
114	0	1	2
115	1	0	2
116	1	1	2
117	0	0	2
118	0	1	2
119	1	0	2
120	1	1	2
121	0	0	2
122	0	1	2
123	1	0	2
124	1	1	2
125	0	0	2
126	0	1	2
127	1	0	2
128	1	1	2
129	0	0	2
